"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00410","Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism - Mus musculus (house mouse)","7/1397","31/7573",0.343030230212133,0.759402453319842,0.638550801608089,"74147/97212/228608/80911/11409/227095/73748",7
"mmu00563","Metabolism","Glycan biosynthesis and metabolism","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (house mouse)","6/1397","26/7573",0.343753181532355,0.759402453319842,0.638550801608089,"66268/14731/14755/56703/433931/329777",6
"mmu05163","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","43/1397","220/7573",0.36189450507372,0.78961977321018,0.663959323471655,"14673/12313/12387/12315/19878/26399/14706/19056/11512/14695/22339/20662/15461/16410/26427/13555/14683/20779/18710/16653/14082/11513/14697/74769/19225/66066/19058/20663/26396/14701/12314/14700/18707/213498/12767/18750/26416/14784/26413/13063/14707/12443/110557",43
"mmu03320","Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)","16/1397","78/7573",0.362103742152597,0.78961977321018,0.663959323471655,"20183/14081/19013/74147/20250/13167/20280/12896/14077/80911/16202/50790/113868/26569/11364/208715",16
"mmu04971","Organismal Systems","Digestive system","mmu04971","Gastric acid secretion - Mus musculus (house mouse)","14/1397","68/7573",0.370886369702079,0.792028997875834,0.665985143028574,"12313/27222/12315/11512/12322/11931/14683/11513/12314/16526/238564/18750/12323/11465",14
"mmu04668","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","22/1397","110/7573",0.373721871940505,0.792028997875834,0.665985143028574,"21929/26420/26399/73086/22031/66513/74006/12369/26427/26409/18710/72542/14082/22341/16168/74769/19225/26398/18707/26414/26416/26413",22
"mmu04724","Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","22/1397","110/7573",0.373721871940505,0.792028997875834,0.665985143028574,"53623/26556/76257/14816/13385/14706/19056/11512/14695/14823/26557/14683/11513/14697/66066/19058/12286/14701/14700/18750/26413/14707",22
"mmu01040","Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse)","7/1397","32/7573",0.375790508834318,0.792028997875834,0.665985143028574,"20250/56348/20280/70025/80911/113868/30963",7
"mmu03020","Genetic Information Processing","Transcription","mmu03020","RNA polymerase - Mus musculus (house mouse)","7/1397","32/7573",0.375790508834318,0.792028997875834,0.665985143028574,"69241/12909/28015/67486/66491/67005/67710",7
"mmu05032","Human Diseases","Substance dependence","mmu05032","Morphine addiction - Mus musculus (house mouse)","17/1397","84/7573",0.37802604199873,0.792028997875834,0.665985143028574,"14405/29863/14706/11512/14695/23984/14683/11513/18577/14697/66066/12286/14701/14700/18750/14707/241489",17
"mmu04392","Environmental Information Processing","Signal transduction","mmu04392","Hippo signaling pathway - multiple species - Mus musculus (house mouse)","6/1397","27/7573",0.379611531526287,0.792028997875834,0.665985143028574,"68473/18016/233651/329628/319710/100534287",6
"mmu05017","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","27/1397","138/7573",0.400460870705717,0.83040352330388,0.698252729031603,"53623/29869/22335/17927/11740/14816/26420/22333/22334/105675/69597/226153/18710/67151/11739/114896/74769/12286/67013/74143/18707/52639/26414/18750/16504/13063/20743",27
"mmu04929","Organismal Systems","Endocrine system","mmu04929","GnRH secretion - Mus musculus (house mouse)","12/1397","59/7573",0.404801364499857,0.834285739030193,0.701517127182037,"15166/12291/15461/22066/18710/16653/74769/26396/18707/18750/140492/26413",12
"mmu05145","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","21/1397","107/7573",0.414567202304688,0.839170746018979,0.705624731937479,"16777/16775/16773/26420/26399/105675/66513/12265/15980/16452/16412/226519/23928/26409/15000/15002/26414/26416/12043/26413/13063",21
"mmu04217","Cellular Processes","Cell growth and death","mmu04217","Necroptosis - Mus musculus (house mouse)","27/1397","139/7573",0.416456190852651,0.839170746018979,0.705624731937479,"22335/26914/11740/21929/26420/22333/15519/22334/14661/74006/15980/19106/12322/16452/11545/66371/72542/14082/11739/19309/26926/20597/51788/26414/12043/12323/319162",27
"mmu05034","Human Diseases","Substance dependence","mmu05034","Alcoholism - Mus musculus (house mouse)","33/1397","171/7573",0.416925648564736,0.839170746018979,0.705624731937479,"12313/26914/68024/12315/216148/14706/20418/14695/20662/13340/15461/107435/26427/18767/14683/16653/14697/66066/20663/14701/12314/51788/14700/319179/14784/319158/26413/14707/319190/319161/319162/97114/319182",33
"mmu00983","Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)","17/1397","86/7573",0.418607050912564,0.839170746018979,0.705624731937479,"22245/56615/18103/22017/22247/14873/17960/76654/110074/229363/66588/20133/14860/18102/104158/234671/16434",17
"mmu00565","Metabolism","Lipid metabolism","mmu00565","Ether lipid metabolism - Mus musculus (house mouse)","9/1397","44/7573",0.424982184844588,0.839170746018979,0.705624731937479,"210992/19012/18606/27226/100163/320981/228061/212862/225845",9
"mmu04142","Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","25/1397","129/7573",0.427157833543491,0.839170746018979,0.705624731937479,"19156/11769/27029/54397/54411/66848/17775/11782/15212/100862375/114128/18174/16004/11305/13038/110173/19063/56325/11593/20597/240283/21871/140494/11881/67464",25
"mmu00220","Metabolism","Amino acid metabolism","mmu00220","Arginine biosynthesis - Mus musculus (house mouse)","4/1397","18/7573",0.431098085349605,0.839170746018979,0.705624731937479,"14661/76282/14718/14719",4
"mmu05212","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer - Mus musculus (house mouse)","15/1397","76/7573",0.431422622151772,0.839170746018979,0.705624731937479,"12540/56044/26420/27015/22339/17126/13555/18710/16653/17127/74769/18707/26414/26413/12443",15
"mmu04020","Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","46/1397","242/7573",0.436154370596965,0.839170746018979,0.705624731937479,"12313/94045/12372/22335/11740/21925/12315/14816/69563/67972/22333/12291/22334/19056/105675/22339/12322/22340/18682/18590/18802/14683/65973/19713/52163/20866/320707/22341/11739/11513/19058/18679/12286/12314/14164/102093/15464/320404/238564/12767/11549/14062/109305/18750/12323/16542",46
"mmu00562","Metabolism","Carbohydrate metabolism","mmu00562","Inositol phosphate metabolism - Mus musculus (house mouse)","14/1397","71/7573",0.438388741359857,0.839170746018979,0.705624731937479,"19211/219135/21991/18802/240752/55980/52858/74769/16332/170835/103199/320404/18707/69718",14
"mmu05218","Human Diseases","Cancer: specific types","mmu05218","Melanoma - Mus musculus (house mouse)","14/1397","71/7573",0.438388741359857,0.839170746018979,0.705624731937479,"19211/16000/27015/15461/18590/13555/18710/16653/74769/26396/14164/18707/26413/12443",14
"mmu03450","Genetic Information Processing","Replication and repair","mmu03450","Non-homologous end-joining - Mus musculus (house mouse)","3/1397","13/7573",0.440210515591974,0.839170746018979,0.705624731937479,"14375/22596/17535",3
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","7/1397","34/7573",0.441465268667214,0.839170746018979,0.705624731937479,"241113/353187/56438/79362/108097/13170/19082",7
"mmu00520","Metabolism","Carbohydrate metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)","10/1397","50/7573",0.444745726182023,0.839170746018979,0.705624731937479,"15212/54128/72157/72017/110119/266690/14430/54342/67883/331026",10
"mmu05221","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia - Mus musculus (house mouse)","13/1397","66/7573",0.445802045612276,0.839170746018979,0.705624731937479,"67603/20662/15461/18710/16653/74769/20663/26396/18707/14255/14784/26413/12443",13
"mmu04120","Genetic Information Processing","Folding, sorting and degradation","mmu04120","Ubiquitin mediated proteolysis - Mus musculus (house mouse)","27/1397","141/7573",0.448583133320101,0.839170746018979,0.705624731937479,"66313/69288/56371/22194/246710/56438/17237/71745/66799/22193/50754/68098/73998/75717/22346/67921/67615/100763/56424/20438/26374/107568/19823/69807/56459/93765/67923",27
"mmu04925","Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion - Mus musculus (house mouse)","18/1397","93/7573",0.452235033411362,0.839170746018979,0.705624731937479,"12313/27222/12315/67972/12291/11512/12322/11931/26427/14683/52163/320707/11513/269060/12314/109305/18750/12323",18
"mmu04970","Organismal Systems","Digestive system","mmu04970","Salivary secretion - Mus musculus (house mouse)","15/1397","77/7573",0.453173636186307,0.839170746018979,0.705624731937479,"12313/27222/12315/67972/11512/11931/14683/320707/11513/12314/11549/18750/19091/11936/16531",15
"mmu04071","Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway - Mus musculus (house mouse)","23/1397","120/7573",0.456104506281573,0.839170746018979,0.705624731937479,"14673/51792/19053/19211/26931/26420/19878/81535/15461/226849/18710/16653/74769/26396/20597/18707/235542/26414/18750/26416/12043/26413/100039830",23
"mmu04022","Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway - Mus musculus (house mouse)","31/1397","163/7573",0.45682667830619,0.839170746018979,0.705624731937479,"14673/12313/17260/27222/22335/20807/11740/12315/67972/22333/19878/22334/19056/105675/11512/18159/11931/26427/22323/320707/11739/11513/19058/26396/12314/238564/11549/19091/11936/16531/26413",31
"mmu05132","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","46/1397","244/7573",0.460787766584593,0.841871703273473,0.707895857626402,"66616/56551/12540/12387/56044/19157/18643/26420/68097/19878/26399/382562/15519/16648/66513/16646/16594/12369/15461/240752/26409/53598/20336/17907/14082/67117/74769/26398/101314/26396/280408/18707/218035/170625/26414/26416/242894/12043/14433/105504/11841/11465/26413/13063/22142/68089",46
"mmu00670","Metabolism","Metabolism of cofactors and vitamins","mmu00670","One carbon pool by folate - Mus musculus (house mouse)","4/1397","19/7573",0.475515389961238,0.864108611865045,0.726593974473878,"17768/108156/238505/13361",4
"mmu04620","Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)","17/1397","89/7573",0.479670125801535,0.866997339684058,0.729022988834306,"26420/26399/22031/66513/13038/26409/18710/17329/27056/14082/74769/26398/26396/18707/26414/26416/26413",17
"mmu00860","Metabolism","Metabolism of cofactors and vitamins","mmu00860","Porphyrin metabolism - Mus musculus (house mouse)","8/1397","41/7573",0.493104965476949,0.886539778357493,0.745455434931558,"109778/15369/17025/77697/15159/15288/11655/70383",8
"mmu01524","Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","15/1397","79/7573",0.496410698604844,0.887760931896494,0.746482253541119,"56615/17686/21973/80905/17685/14873/18710/14082/14860/74769/18707/12043/26413/13063/20529",15
"mmu05170","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","38/1397","204/7573",0.502349485882124,0.893653295937674,0.751436904089604,"12313/11769/12315/26420/26399/14706/19056/56438/66513/14695/15461/26409/18710/16653/14082/75717/12649/14697/74769/66066/19058/26396/14701/12314/14700/18707/268697/12767/26414/18750/19823/26416/12043/26413/13063/14707/110557/67923",38
"mmu00380","Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","9/1397","47/7573",0.509695979483805,0.901975084112703,0.75843435911065,"78920/13382/74147/110460/97212/15107/110446/70266/14204",9
"mmu04934","Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome - Mus musculus (house mouse)","28/1397","151/7573",0.521452493392029,0.917973660242218,0.77188691456057,"216795/12922/12387/22411/12291/22418/11512/12322/11632/14194/26427/13555/14683/320024/12448/22419/11513/26396/16526/14362/14371/109305/12323/26413/109905/12443/12579/241489",28
"mmu04923","Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)","10/1397","53/7573",0.524360811018216,0.918310643130347,0.77217026983866,"11512/14683/18710/11513/74769/19225/67469/18707/19091/225845",10
"mmu05417","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","36/1397","195/7573",0.527746415477503,0.919475713563896,0.773149930433672,"12313/12540/20656/20183/12315/26420/19878/26399/15519/22031/19056/66513/225164/12322/16452/12369/13198/15461/15510/20779/26409/18710/16653/74769/26398/19058/12314/18707/26414/18750/26416/12043/12323/26413/13063/109905",36
"mmu04931","Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance - Mus musculus (house mouse)","20/1397","108/7573",0.531915583554844,0.921987011495063,0.775261579270218,"14936/58805/241113/19211/20528/26420/19013/20112/26427/18710/74769/19309/170826/108097/110854/18707/19247/26414/26569/19082",20
"mmu01250","Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars - Mus musculus (house mouse)","7/1397","37/7573",0.537183004217321,0.923324040610433,0.776385832964238,"54128/72157/110119/14430/54342/67883/331026",7
"mmu04920","Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway - Mus musculus (house mouse)","13/1397","70/7573",0.538150402367619,0.923324040610433,0.776385832964238,"241113/20183/20528/14081/26420/19013/16452/50790/108097/19247/26414/16846/19082",13
"mmu00604","Metabolism","Glycan biosynthesis and metabolism","mmu00604","Glycosphingolipid biosynthesis - ganglio series - Mus musculus (house mouse)","3/1397","15/7573",0.54171920238951,0.924752981856841,0.777587371850972,"15212/225742/20454",3
"mmu04211","Organismal Systems","Aging","mmu04211","Longevity regulating pathway - Mus musculus (house mouse)","16/1397","87/7573",0.549419975154563,0.927380079441975,0.779796391931901,"241113/20656/16000/11512/15461/26427/13684/18710/16653/11513/75747/74769/11793/108097/18707/19082",16
"mmu04750","Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","20/1397","109/7573",0.550075439635719,0.927380079441975,0.779796391931901,"12313/12315/16000/26420/26399/11512/11419/12322/14683/20779/18710/11513/74769/18442/12314/18707/26414/18750/26416/12323",20
"mmu00500","Metabolism","Carbohydrate metabolism","mmu00500","Starch and sucrose metabolism - Mus musculus (house mouse)","6/1397","32/7573",0.554087007251672,0.927380079441975,0.779796391931901,"14936/72157/70974/19309/18605/76051",6
"mmu04010","Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","53/1397","290/7573",0.555316061253677,0.927380079441975,0.779796391931901,"14673/13637/72349/17260/12540/56808/26407/20807/17164/216965/67603/16000/26420/26399/12291/73086/19056/11600/66513/20112/22339/20662/22340/13198/15461/18590/26409/19713/16653/22341/26398/19058/12286/20663/26396/14701/14164/18218/63953/269881/319734/14255/26414/18750/26416/14784/16542/26413/26940/109905/240168/78405/54378",53
"mmu04630","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","25/1397","137/7573",0.559437297720016,0.927380079441975,0.779796391931901,"12444/15980/14199/20662/16452/15461/18590/12804/18710/16168/74769/20663/56468/192157/18707/13019/19247/16880/14600/12043/16846/14784/12443/16157/16158",25
"mmu04727","Organismal Systems","Nervous system","mmu04727","GABAergic synapse - Mus musculus (house mouse)","15/1397","82/7573",0.559720521320009,0.927380079441975,0.779796391931901,"14405/76257/14706/11512/14695/70827/20779/11513/14697/66066/12286/14701/14700/18750/14707",15
"mmu05031","Human Diseases","Substance dependence","mmu05031","Amphetamine addiction - Mus musculus (house mouse)","12/1397","66/7573",0.572554926985616,0.94401739181043,0.793786034845269,"12313/53623/12315/19056/11838/12322/26427/14683/19058/12314/18750/12323",12
"mmu04650","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","18/1397","100/7573",0.587171755284256,0.961455445868652,0.80844898905181,"216148/20418/19056/15980/20662/15461/18710/16653/74769/16640/19058/20663/26396/18707/19247/18750/14784/26413",18
"mmu00510","Metabolism","Glycan biosynthesis and metabolism","mmu00510","N-Glycan biosynthesis - Mus musculus (house mouse)","9/1397","50/7573",0.590175432664399,0.961455445868652,0.80844898905181,"17308/53618/53418/103963/208624/140481/80286/66357/227697",9
"mmu04911","Organismal Systems","Endocrine system","mmu04911","Insulin secretion - Mus musculus (house mouse)","14/1397","78/7573",0.591664889765324,0.961455445868652,0.80844898905181,"27222/11512/12322/11931/26427/14683/11513/19339/56508/18750/140492/12323/11936/16531",14
"mmu00260","Metabolism","Amino acid metabolism","mmu00260","Glycine, serine and threonine metabolism - Mus musculus (house mouse)","7/1397","39/7573",0.597122618940684,0.965681555990197,0.812002554087055,"27364/14431/56012/13382/100678/11655/68133",7
"mmu00360","Metabolism","Amino acid metabolism","mmu00360","Phenylalanine metabolism - Mus musculus (house mouse)","3/1397","17/7573",0.631703499231053,0.999999999998461,0.840859545311692,"14718/14719/14204",3
"mmu00531","Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation - Mus musculus (house mouse)","3/1397","17/7573",0.631703499231053,0.999999999998461,0.840859545311692,"27029/15212/11881",3
"mmu04657","Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","14/1397","80/7573",0.632206545905444,0.999999999998461,0.840859545311692,"21929/26420/20292/15519/22031/26409/14082/19225/50772/57890/26414/239114/26416/26413",14
"mmu04744","Organismal Systems","Sensory system","mmu04744","Phototransduction - Mus musculus (house mouse)","4/1397","23/7573",0.636169399753789,0.999999999998461,0.840859545311692,"12313/14686/12315/12314",4
"mmu04141","Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","29/1397","165/7573",0.646391679156598,0.999999999998461,0.840859545311692,"94232/54197/26420/217379/15519/66890/56438/13198/18415/57743/15502/12017/103963/23802/12955/105245/69608/22393/80286/56424/66357/66256/70361/213539/26414/66212/12043/66245/75744",29
"mmu04625","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","19/1397","109/7573",0.647227155424355,0.999999999998461,0.840859545311692,"12313/17164/12315/26420/19056/15461/20779/18710/16653/74769/19225/19058/12314/18707/19247/26414/239114/26416/26413",19
"mmu04140","Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","28/1397","160/7573",0.654544360851906,0.999999999998461,0.840859545311692,"56418/29869/19053/19211/26420/66795/56716/15461/52187/26409/73205/18710/16653/74769/74498/67526/26396/11793/68728/18707/218035/52639/218460/26414/22320/12043/26413/666468",28
"mmu04924","Organismal Systems","Endocrine system","mmu04924","Renin secretion - Mus musculus (house mouse)","12/1397","70/7573",0.659283884915061,0.999999999998461,0.840859545311692,"12313/12315/19056/11512/14683/13616/19058/12314/229933/109305/16531/99663",12
"mmu05135","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","23/1397","133/7573",0.670155412496695,0.999999999998461,0.840859545311692,"12540/26420/19878/26399/66513/20112/16412/14268/16401/20779/26409/18710/74769/26398/26396/18707/26414/26416/242894/11465/26413/215280/68089",23
"mmu00534","Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse)","4/1397","24/7573",0.670948768713729,0.999999999998461,0.840859545311692,"54616/58193/56219/233781",4
"mmu04977","Organismal Systems","Digestive system","mmu04977","Vitamin digestion and absorption - Mus musculus (house mouse)","4/1397","24/7573",0.670948768713729,0.999999999998461,0.840859545311692,"330064/52466/67096/116914",4
"mmu05235","Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)","15/1397","88/7573",0.67598875176101,0.999999999998461,0.840859545311692,"19211/26399/19056/15980/16452/15461/18710/16653/74769/19058/26396/18707/19247/26416/26413",15
"mmu04530","Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction - Mus musculus (house mouse)","27/1397","157/7573",0.690067636887481,0.999999999998461,0.840859545311692,"21844/56513/241113/12540/51792/18016/19053/26420/19878/16412/20779/17475/22323/83964/108097/58220/26414/67374/242894/11465/19082/17356/109905/12443/23828/22142/68089",27
"mmu00030","Metabolism","Carbohydrate metabolism","mmu00030","Pentose phosphate pathway - Mus musculus (house mouse)","5/1397","31/7573",0.701786827465401,0.999999999998461,0.840859545311692,"21351/72157/232449/18642/328099",5
"mmu04130","Genetic Information Processing","Folding, sorting and degradation","mmu04130","SNARE interactions in vesicular transport - Mus musculus (house mouse)","5/1397","31/7573",0.701786827465401,0.999999999998461,0.840859545311692,"56418/224630/22319/22317/22320",5
"mmu00350","Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism - Mus musculus (house mouse)","6/1397","37/7573",0.702153301337944,0.999999999998461,0.840859545311692,"14874/14718/11532/14719/68636/14204",6
"mmu04210","Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","22/1397","130/7573",0.708745417817765,0.999999999998461,0.840859545311692,"13804/26420/12369/13198/15461/11545/13038/18710/13347/16653/14082/74769/26396/26926/18707/26414/12043/11465/26413/13063/64704/22142",22
"mmu04928","Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)","18/1397","108/7573",0.721965807309467,0.999999999998461,0.840859545311692,"14673/17260/20183/11512/15200/26427/14683/16974/11513/17388/18577/108737/213498/232341/19227/18750/12043/26413",18
"mmu04520","Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction - Mus musculus (house mouse)","15/1397","91/7573",0.727091033608541,0.999999999998461,0.840859545311692,"216527/12540/12387/66313/19878/22330/20779/26409/17907/17127/99167/11465/26413/17356/109905",15
"mmu05166","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","39/1397","228/7573",0.72783738356115,0.999999999998461,0.840859545311692,"12444/22335/19211/20807/11740/26420/22333/22334/19056/11512/17126/15461/18186/26427/13555/12448/18710/50883/16653/11739/11513/16168/23871/12649/17127/74769/26398/19058/26396/15000/18707/15002/26414/17701/110196/26413/12443/110557/12579",39
"mmu00040","Metabolism","Carbohydrate metabolism","mmu00040","Pentose and glucuronate interconversions - Mus musculus (house mouse)","5/1397","32/7573",0.729138646023499,0.999999999998461,0.840859545311692,"11677/68631/20322/75847/67861",5
"mmu00601","Metabolism","Glycan biosynthesis and metabolism","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (house mouse)","4/1397","26/7573",0.733397638350848,0.999999999998461,0.840859545311692,"54613/20441/53418/53625",4
"mmu03420","Genetic Information Processing","Replication and repair","mmu03420","Nucleotide excision repair - Mus musculus (house mouse)","9/1397","57/7573",0.748926821518351,0.999999999998461,0.840859545311692,"66671/56438/69241/66979/26370/28015/66467/66491/67710",9
"mmu00480","Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism - Mus musculus (house mouse)","11/1397","69/7573",0.750946797249663,0.999999999998461,0.840859545311692,"110175/56615/68044/75475/14873/14768/11758/20133/14860/66988/20603",11
"mmu05140","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","11/1397","69/7573",0.750946797249663,0.999999999998461,0.840859545311692,"66513/15980/16452/16412/16401/26409/19225/15000/15002/26416/26413",11
"mmu05152","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","27/1397","162/7573",0.752391007890508,0.999999999998461,0.840859545311692,"12313/54411/12315/26420/17534/19056/12265/15980/12322/16452/15510/20779/14082/19058/12314/170767/15000/21871/140494/15002/26414/26416/12043/12323/108960/26413/13063",27
"mmu05164","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","24/1397","145/7573",0.755185673875426,0.999999999998461,0.840859545311692,"16650/11740/16647/22333/22031/12265/16646/15980/19106/16452/18710/14082/11739/74769/26396/228607/15000/18707/15002/18750/110196/11465/26413/13063",24
"mmu04062","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","30/1397","180/7573",0.761463019177138,0.999999999998461,0.840859545311692,"21844/12540/216148/19878/20292/14706/20418/11512/14695/20662/16452/15461/20779/18710/17329/16653/11513/14697/74769/66066/20663/14701/14700/18707/12767/13051/14784/26413/14707/109905",30
"mmu04936","Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","20/1397","123/7573",0.7694140581687,0.999999999998461,0.840859545311692,"241113/12387/11370/26420/26399/22031/19013/66513/20250/11532/26409/80911/14082/26398/108097/26414/26416/11364/19082/12443",20
"mmu04613","Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","29/1397","175/7573",0.769416165399126,0.999999999998461,0.840859545311692,"12727/12728/22335/26914/11740/68024/22333/22334/105675/107435/20779/26409/18710/11739/74769/26396/51788/18707/319179/18750/26416/319158/11465/26413/319190/319161/319162/97114/319182",29
"mmu04973","Organismal Systems","Digestive system","mmu04973","Carbohydrate digestion and absorption - Mus musculus (house mouse)","7/1397","46/7573",0.770143367815916,0.999999999998461,0.840859545311692,"27222/11931/18710/14385/74769/18707/11936",7
"mmu00532","Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (house mouse)","3/1397","21/7573",0.772574041950708,0.999999999998461,0.840859545311692,"233781/77590/78752",3
"mmu00590","Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","10/1397","65/7573",0.784555088559091,0.999999999998461,0.840859545311692,"19223/13850/12409/96979/71519/66469/19225/225791/225845/77219",10
"mmu05416","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","12/1397","78/7573",0.799329848315659,0.999999999998461,0.840859545311692,"20391/16773/24052/11352/16651/15000/15002/12391/11465/13063/12443/110557",12
"mmu00592","Metabolism","Lipid metabolism","mmu00592","alpha-Linolenic acid metabolism - Mus musculus (house mouse)","3/1397","22/7573",0.799967188817196,0.999999999998461,0.840859545311692,"80911/113868/225845",3
"mmu05310","Human Diseases","Immune disease","mmu05310","Asthma - Mus musculus (house mouse)","3/1397","22/7573",0.799967188817196,0.999999999998461,0.840859545311692,"20292/15000/15002",3
"mmu05340","Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","5/1397","35/7573",0.800132175088959,0.999999999998461,0.840859545311692,"12265/22256/170767/109305/17060",5
"mmu04972","Organismal Systems","Digestive system","mmu04972","Pancreatic secretion - Mus musculus (house mouse)","15/1397","96/7573",0.800223902949646,0.999999999998461,0.840859545311692,"27222/67972/11512/80718/11931/14683/320707/11513/229933/18750/11936/54403/16531/99663/109905",15
"mmu04270","Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","20/1397","126/7573",0.805475094082042,0.999999999998461,0.840859545311692,"14673/12313/12315/19878/11512/18159/14683/13616/11513/51801/26396/12314/213498/238564/11549/18750/19091/16531/26413/329251",20
"mmu00512","Metabolism","Glycan biosynthesis and metabolism","mmu00512","Mucin type O-glycan biosynthesis - Mus musculus (house mouse)","4/1397","29/7573",0.809674555199301,0.999999999998461,0.840859545311692,"14423/241391/231050/94192",4
"mmu04672","Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)","6/1397","42/7573",0.813012406873327,0.999999999998461,0.840859545311692,"16421/16401/16168/15000/15002/12767",6
